flyID,in:MaasterrasA,in:MaasterrasB,in:MaasterrasC,in:Screen,out:MABVO,out:MBBVO,out:MCBVO,out:AverageSkyView,out:maxGeluidswaardeGeveldB,out:SIPercentage2Hrs,out:SHPercentage2Hrs
MaasterrasAVariant2_MaasterrasBVariant3_MaasterrasCVariant2_Screenno,Variant 2,Variant 3,Variant 2,no,36221,23967,61128,45,60,32,17
MaasterrasAVariant2_MaasterrasBVariant3_MaasterrasCVariant2_Screenyes,Variant 2,Variant 3,Variant 2,yes,36221,23967,61128,45,60,32,17
MaasterrasAVariant2_MaasterrasBVariant3_MaasterrasCVariant3_Screenno,Variant 2,Variant 3,Variant 3,no,36221,23967,45313,46,60,28,14
MaasterrasAVariant2_MaasterrasBVariant3_MaasterrasCVariant3_Screenyes,Variant 2,Variant 3,Variant 3,yes,36221,23967,45313,46,60,28,14
MaasterrasAVariant2_MaasterrasBVariant3_MaasterrasCVariant4_Screenno,Variant 2,Variant 3,Variant 4,no,36221,23967,58448,47,62,32,14
MaasterrasAVariant2_MaasterrasBVariant3_MaasterrasCVariant4_Screenyes,Variant 2,Variant 3,Variant 4,yes,36221,23967,58448,47,62,32,14
MaasterrasAVariant2_MaasterrasBVariant3_MaasterrasCVariant5_Screenno,Variant 2,Variant 3,Variant 5,no,36221,23967,203107,45,62,35,18
MaasterrasAVariant2_MaasterrasBVariant3_MaasterrasCVariant5_Screenyes,Variant 2,Variant 3,Variant 5,yes,36221,23967,203107,45,62,35,18
MaasterrasAVariant2_MaasterrasBVariant4_MaasterrasCVariant1_Screenno,Variant 2,Variant 4,Variant 1,no,36221,22905,90688,45,60,32,18
MaasterrasAVariant2_MaasterrasBVariant4_MaasterrasCVariant1_Screenyes,Variant 2,Variant 4,Variant 1,yes,36221,22905,90688,45,60,32,18
MaasterrasAVariant2_MaasterrasBVariant4_MaasterrasCVariant2_Screenno,Variant 2,Variant 4,Variant 2,no,36221,22905,61128,45,60,31,16
MaasterrasAVariant2_MaasterrasBVariant4_MaasterrasCVariant2_Screenyes,Variant 2,Variant 4,Variant 2,yes,36221,22905,61128,45,60,31,16
MaasterrasAVariant2_MaasterrasBVariant4_MaasterrasCVariant3_Screenno,Variant 2,Variant 4,Variant 3,no,36221,22905,45313,47,60,27,13
MaasterrasAVariant2_MaasterrasBVariant4_MaasterrasCVariant3_Screenyes,Variant 2,Variant 4,Variant 3,yes,36221,22905,45313,47,60,27,13
MaasterrasAVariant2_MaasterrasBVariant4_MaasterrasCVariant4_Screenno,Variant 2,Variant 4,Variant 4,no,36221,22905,58448,47,62,31,13
MaasterrasAVariant2_MaasterrasBVariant4_MaasterrasCVariant4_Screenyes,Variant 2,Variant 4,Variant 4,yes,36221,22905,58448,47,62,31,13
MaasterrasAVariant2_MaasterrasBVariant4_MaasterrasCVariant5_Screenno,Variant 2,Variant 4,Variant 5,no,36221,22905,203107,45,62,35,17
MaasterrasAVariant2_MaasterrasBVariant4_MaasterrasCVariant5_Screenyes,Variant 2,Variant 4,Variant 5,yes,36221,22905,203107,45,62,35,17
MaasterrasAVariant2_MaasterrasBVariant5_MaasterrasCVariant1_Screenno,Variant 2,Variant 5,Variant 1,no,36221,28540,90688,45,60,32,17
MaasterrasAVariant2_MaasterrasBVariant5_MaasterrasCVariant1_Screenyes,Variant 2,Variant 5,Variant 1,yes,36221,28540,90688,45,60,32,17
MaasterrasAVariant2_MaasterrasBVariant5_MaasterrasCVariant2_Screenno,Variant 2,Variant 5,Variant 2,no,36221,28540,61128,46,60,31,16
MaasterrasAVariant2_MaasterrasBVariant5_MaasterrasCVariant2_Screenyes,Variant 2,Variant 5,Variant 2,yes,36221,28540,61128,46,60,31,16
MaasterrasAVariant2_MaasterrasBVariant5_MaasterrasCVariant3_Screenno,Variant 2,Variant 5,Variant 3,no,36221,28540,45313,47,60,27,13
MaasterrasAVariant2_MaasterrasBVariant5_MaasterrasCVariant3_Screenyes,Variant 2,Variant 5,Variant 3,yes,36221,28540,45313,47,60,27,13
MaasterrasAVariant2_MaasterrasBVariant5_MaasterrasCVariant4_Screenno,Variant 2,Variant 5,Variant 4,no,36221,28540,58448,47,62,31,13
MaasterrasAVariant2_MaasterrasBVariant5_MaasterrasCVariant4_Screenyes,Variant 2,Variant 5,Variant 4,yes,36221,28540,58448,47,62,31,13
MaasterrasAVariant2_MaasterrasBVariant5_MaasterrasCVariant5_Screenno,Variant 2,Variant 5,Variant 5,no,36221,28540,203107,45,62,35,17
MaasterrasAVariant2_MaasterrasBVariant5_MaasterrasCVariant5_Screenyes,Variant 2,Variant 5,Variant 5,yes,36221,28540,203107,45,62,35,17
MaasterrasAVariant3_MaasterrasBVariant1_MaasterrasCVariant1_Screenno,Variant 3,Variant 1,Variant 1,no,56654,21488,90688,44,60,35,19
MaasterrasAVariant3_MaasterrasBVariant1_MaasterrasCVariant1_Screenyes,Variant 3,Variant 1,Variant 1,yes,56654,21488,90688,44,60,35,19
MaasterrasAVariant3_MaasterrasBVariant1_MaasterrasCVariant2_Screenno,Variant 3,Variant 1,Variant 2,no,56654,21488,61128,44,60,34,18
MaasterrasAVariant3_MaasterrasBVariant1_MaasterrasCVariant2_Screenyes,Variant 3,Variant 1,Variant 2,yes,56654,21488,61128,44,60,34,18
MaasterrasAVariant3_MaasterrasBVariant1_MaasterrasCVariant3_Screenno,Variant 3,Variant 1,Variant 3,no,56654,21488,45313,45,60,30,15
MaasterrasAVariant3_MaasterrasBVariant1_MaasterrasCVariant3_Screenyes,Variant 3,Variant 1,Variant 3,yes,56654,21488,45313,45,60,30,15
MaasterrasAVariant3_MaasterrasBVariant1_MaasterrasCVariant4_Screenno,Variant 3,Variant 1,Variant 4,no,56654,21488,58448,46,62,34,15
MaasterrasAVariant3_MaasterrasBVariant1_MaasterrasCVariant4_Screenyes,Variant 3,Variant 1,Variant 4,yes,56654,21488,58448,46,62,34,15
MaasterrasAVariant3_MaasterrasBVariant1_MaasterrasCVariant5_Screenno,Variant 3,Variant 1,Variant 5,no,56654,21488,203107,44,62,38,19
MaasterrasAVariant3_MaasterrasBVariant1_MaasterrasCVariant5_Screenyes,Variant 3,Variant 1,Variant 5,yes,56654,21488,203107,44,62,38,19
MaasterrasAVariant3_MaasterrasBVariant2_MaasterrasCVariant1_Screenno,Variant 3,Variant 2,Variant 1,no,56654,23967,90688,44,60,35,19
MaasterrasAVariant3_MaasterrasBVariant2_MaasterrasCVariant1_Screenyes,Variant 3,Variant 2,Variant 1,yes,56654,23967,90688,44,60,35,19
MaasterrasAVariant3_MaasterrasBVariant2_MaasterrasCVariant2_Screenno,Variant 3,Variant 2,Variant 2,no,56654,23967,61128,45,60,33,18
MaasterrasAVariant3_MaasterrasBVariant2_MaasterrasCVariant2_Screenyes,Variant 3,Variant 2,Variant 2,yes,56654,23967,61128,45,60,33,18
MaasterrasAVariant3_MaasterrasBVariant2_MaasterrasCVariant3_Screenno,Variant 3,Variant 2,Variant 3,no,56654,23967,45313,46,60,30,15
MaasterrasAVariant3_MaasterrasBVariant2_MaasterrasCVariant3_Screenyes,Variant 3,Variant 2,Variant 3,yes,56654,23967,45313,46,60,30,15
MaasterrasAVariant3_MaasterrasBVariant2_MaasterrasCVariant4_Screenno,Variant 3,Variant 2,Variant 4,no,56654,23967,58448,46,62,34,15
MaasterrasAVariant3_MaasterrasBVariant2_MaasterrasCVariant4_Screenyes,Variant 3,Variant 2,Variant 4,yes,56654,23967,58448,46,62,34,15
MaasterrasAVariant3_MaasterrasBVariant2_MaasterrasCVariant5_Screenno,Variant 3,Variant 2,Variant 5,no,56654,23967,203107,44,62,38,19
MaasterrasAVariant3_MaasterrasBVariant2_MaasterrasCVariant5_Screenyes,Variant 3,Variant 2,Variant 5,yes,56654,23967,203107,44,62,38,19
MaasterrasAVariant3_MaasterrasBVariant3_MaasterrasCVariant1_Screenno,Variant 3,Variant 3,Variant 1,no,56654,23967,90688,45,60,35,19
MaasterrasAVariant3_MaasterrasBVariant3_MaasterrasCVariant1_Screenyes,Variant 3,Variant 3,Variant 1,yes,56654,23967,90688,45,60,35,19
MaasterrasAVariant3_MaasterrasBVariant3_MaasterrasCVariant2_Screenno,Variant 3,Variant 3,Variant 2,no,56654,23967,61128,45,60,33,18
MaasterrasAVariant3_MaasterrasBVariant3_MaasterrasCVariant2_Screenyes,Variant 3,Variant 3,Variant 2,yes,56654,23967,61128,45,60,33,18
MaasterrasAVariant3_MaasterrasBVariant3_MaasterrasCVariant3_Screenno,Variant 3,Variant 3,Variant 3,no,56654,23967,45313,46,60,30,15
MaasterrasAVariant3_MaasterrasBVariant3_MaasterrasCVariant3_Screenyes,Variant 3,Variant 3,Variant 3,yes,56654,23967,45313,46,60,30,15
MaasterrasAVariant3_MaasterrasBVariant3_MaasterrasCVariant4_Screenno,Variant 3,Variant 3,Variant 4,no,56654,23967,58448,46,62,34,15
MaasterrasAVariant3_MaasterrasBVariant3_MaasterrasCVariant4_Screenyes,Variant 3,Variant 3,Variant 4,yes,56654,23967,58448,46,62,34,15
MaasterrasAVariant3_MaasterrasBVariant3_MaasterrasCVariant5_Screenno,Variant 3,Variant 3,Variant 5,no,56654,23967,203107,45,62,38,19
MaasterrasAVariant3_MaasterrasBVariant3_MaasterrasCVariant5_Screenyes,Variant 3,Variant 3,Variant 5,yes,56654,23967,203107,45,62,38,19
MaasterrasAVariant3_MaasterrasBVariant4_MaasterrasCVariant1_Screenno,Variant 3,Variant 4,Variant 1,no,56654,22905,90688,45,60,34,19
MaasterrasAVariant3_MaasterrasBVariant4_MaasterrasCVariant1_Screenyes,Variant 3,Variant 4,Variant 1,yes,56654,22905,90688,45,60,34,19
MaasterrasAVariant3_MaasterrasBVariant4_MaasterrasCVariant2_Screenno,Variant 3,Variant 4,Variant 2,no,56654,22905,61128,45,60,33,17
MaasterrasAVariant3_MaasterrasBVariant4_MaasterrasCVariant2_Screenyes,Variant 3,Variant 4,Variant 2,yes,56654,22905,61128,45,60,33,17
MaasterrasAVariant3_MaasterrasBVariant4_MaasterrasCVariant3_Screenno,Variant 3,Variant 4,Variant 3,no,56654,22905,45313,46,60,29,14
MaasterrasAVariant3_MaasterrasBVariant4_MaasterrasCVariant3_Screenyes,Variant 3,Variant 4,Variant 3,yes,56654,22905,45313,46,60,29,14
MaasterrasAVariant3_MaasterrasBVariant4_MaasterrasCVariant4_Screenno,Variant 3,Variant 4,Variant 4,no,56654,22905,58448,46,62,33,14
