flyID,in:SpanT1,in:SpanT2,in:RijwonenAandeelPlint,in:TypeWoningen,in:SociaalOplossing,in:Verdiepingen,in:Toren1AandeelPlint,in:Toren2AandeelPlint,out:grw,out:socgrw,out:midgrw,out:koopgrw,out:pp,out:socprc,out:midprc,out:koopprc,out:GO,out:GOsoc,out:GOmid,out:GOkoop,out:BVO,out:BVOsoc,out:BVOmid,out:BVOkoop,out:t1bon,out:t2bon,out:Soc49,out:Soc50,out:mid59,out:mid69,out:koop79,out:koop89,out:koop109,out:koop129,out:koop131,out:GGW3LAPP,out:GGW4LAPP,out:WoningenTotaal
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGalerijAppartementen_SociaalOplossingToren_VerdiepingenVier_Toren1AandeelPlinthalf_Toren2AandeelPlintwonen,Vijf,Vijf,Wonen,GalerijAppartementen,Toren,Vier,half,wonen,11.2,1,3.2,7,253.4,24,34,40,17242,2856,4806,9580,24602,3962,6780,13860,1,0,14,42,18,60,18,0,68,6,0,0,0,226
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGalerijAppartementen_SociaalOplossingBeneden_VerdiepingenDrie_Toren1AandeelPlintcommercieel_Toren2AandeelPlintcommercieel,Vijf,Vijf,Wonen,GalerijAppartementen,Beneden,Drie,commercieel,commercieel,14,1.1,3,9.9,274,29,29,41,20068,3480,4428,12160,28692,4854,6246,17592,3,3,66,6,18,54,0,0,56,48,0,0,0,248
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGalerijAppartementen_SociaalOplossingBeneden_VerdiepingenDrie_Toren1AandeelPlintcommercieel_Toren2AandeelPlintwonen,Vijf,Vijf,Wonen,GalerijAppartementen,Beneden,Drie,commercieel,wonen,12.5,1.1,3,8.4,252.1,30,30,38,18283,3480,4428,10375,26109,4854,6246,15009,3,0,66,6,18,54,0,0,50,39,0,0,0,233
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGalerijAppartementen_SociaalOplossingBeneden_VerdiepingenDrie_Toren1AandeelPlinthalf_Toren2AandeelPlintcommercieel,Vijf,Vijf,Wonen,GalerijAppartementen,Beneden,Drie,half,commercieel,13,1.1,3,8.9,259.4,30,30,39,18878,3480,4428,10970,26970,4854,6246,15870,1,3,66,6,18,54,0,0,52,42,0,0,0,238
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGalerijAppartementen_SociaalOplossingBeneden_VerdiepingenDrie_Toren1AandeelPlinthalf_Toren2AandeelPlintwonen,Vijf,Vijf,Wonen,GalerijAppartementen,Beneden,Drie,half,wonen,11.5,1.1,3,7.4,237.5,32,32,35,17093,3480,4428,9185,24387,4854,6246,13287,1,0,66,6,18,54,0,0,46,33,0,0,0,223
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGalerijAppartementen_SociaalOplossingBeneden_VerdiepingenVier_Toren1AandeelPlintcommercieel_Toren2AandeelPlintcommercieel,Vijf,Vijf,Wonen,GalerijAppartementen,Beneden,Vier,commercieel,commercieel,14.8,1,3.3,10.5,287.7,25,31,43,21032,3072,4920,13040,30092,4288,6940,18864,3,3,64,0,20,60,0,0,64,48,0,0,0,256
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGalerijAppartementen_SociaalOplossingBeneden_VerdiepingenVier_Toren1AandeelPlintcommercieel_Toren2AandeelPlintwonen,Vijf,Vijf,Wonen,GalerijAppartementen,Beneden,Vier,commercieel,wonen,13.1,1.1,3,9,263.4,29,29,40,19163,3480,4428,11255,27381,4854,6246,16281,3,0,66,6,18,54,0,0,58,39,0,0,0,241
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGalerijAppartementen_SociaalOplossingBeneden_VerdiepingenVier_Toren1AandeelPlinthalf_Toren2AandeelPlintcommercieel,Vijf,Vijf,Wonen,GalerijAppartementen,Beneden,Vier,half,commercieel,13.6,1.1,3,9.5,270.7,29,29,41,19758,3480,4428,11850,28242,4854,6246,17142,1,3,66,6,18,54,0,0,60,42,0,0,0,246
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintWonen_TypeWoningenGalerijAppartementen_SociaalOplossingBeneden_VerdiepingenVier_Toren1AandeelPlinthalf_Toren2AandeelPlintwonen,Vijf,Vijf,Wonen,GalerijAppartementen,Beneden,Vier,half,wonen,12.1,1.1,3,8,248.8,31,31,37,17973,3480,4428,10065,25659,4854,6246,14559,1,0,66,6,18,54,0,0,54,33,0,0,0,231
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintHalf_TypeWoningenGGW_SociaalOplossingToren_VerdiepingenDrie_Toren1AandeelPlintcommercieel_Toren2AandeelPlintcommercieel,Vijf,Vijf,Half,GGW,Toren,Drie,commercieel,commercieel,12,1,3,8,240.4,29,33,37,17456,3168,4428,9860,24414,4408,6246,13760,3,3,40,24,18,54,0,0,26,39,0,17,0,218
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintHalf_TypeWoningenGGW_SociaalOplossingToren_VerdiepingenDrie_Toren1AandeelPlintcommercieel_Toren2AandeelPlintwonen,Vijf,Vijf,Half,GGW,Toren,Drie,commercieel,wonen,10.3,0.9,3.6,5.8,235.7,25,38,35,15725,2760,5310,7655,21923,3842,7492,10589,3,0,38,18,18,68,42,0,8,12,0,17,0,221
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintHalf_TypeWoningenGGW_SociaalOplossingToren_VerdiepingenDrie_Toren1AandeelPlinthalf_Toren2AandeelPlintcommercieel,Vijf,Vijf,Half,GGW,Toren,Drie,half,commercieel,11.3,0.9,3.1,7.3,229.3,26,35,37,16434,2760,4554,9120,22958,3842,6424,12692,1,3,38,18,18,56,6,0,22,33,0,17,0,208
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintHalf_TypeWoningenGGW_SociaalOplossingToren_VerdiepingenDrie_Toren1AandeelPlinthalf_Toren2AandeelPlintwonen,Vijf,Vijf,Half,GGW,Toren,Drie,half,wonen,9.5,0.9,3.3,5.3,219.9,26,37,35,14638,2760,4818,7060,20368,3842,6798,9728,1,0,38,18,16,62,42,0,6,9,0,17,0,208
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintHalf_TypeWoningenGGW_SociaalOplossingToren_VerdiepingenVier_Toren1AandeelPlintcommercieel_Toren2AandeelPlintcommercieel,Vijf,Vijf,Half,GGW,Toren,Vier,commercieel,commercieel,12.9,1,3.4,8.5,259.3,27,35,37,18731,3120,5046,10565,26186,4348,7118,14720,3,3,52,12,20,62,6,0,26,39,0,0,17,234
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintHalf_TypeWoningenGGW_SociaalOplossingToren_VerdiepingenVier_Toren1AandeelPlintcommercieel_Toren2AandeelPlintwonen,Vijf,Vijf,Half,GGW,Toren,Vier,commercieel,wonen,12,0.9,3,8.1,235,26,34,39,17255,2712,4428,10115,24094,3782,6246,14066,3,0,50,6,18,54,0,0,26,39,0,0,17,210
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintHalf_TypeWoningenGGW_SociaalOplossingToren_VerdiepingenVier_Toren1AandeelPlinthalf_Toren2AandeelPlintcommercieel,Vijf,Vijf,Half,GGW,Toren,Vier,half,commercieel,11.9,1,3.4,7.5,244.7,28,36,34,17541,3120,5046,9375,24464,4348,7118,12998,1,3,52,12,20,62,6,0,22,33,0,0,17,224
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintHalf_TypeWoningenGGW_SociaalOplossingToren_VerdiepingenVier_Toren1AandeelPlinthalf_Toren2AandeelPlintwonen,Vijf,Vijf,Half,GGW,Toren,Vier,half,wonen,11,0.9,3,7.1,220.5,28,36,36,16065,2712,4428,8925,22372,3782,6246,12344,1,0,50,6,18,54,0,0,22,33,0,0,17,200
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintHalf_TypeWoningenGGW_SociaalOplossingBeneden_VerdiepingenDrie_Toren1AandeelPlintcommercieel_Toren2AandeelPlintcommercieel,Vijf,Vijf,Half,GGW,Beneden,Drie,commercieel,commercieel,13.5,0.9,2.7,10,252.7,25,28,45,18888,2712,3936,12240,26538,3782,5552,17204,3,3,50,6,16,48,0,0,34,51,0,17,0,222
SpanT1Vijf_SpanT2Vijf_RijwonenAandeelPlintHalf_TypeWoningenGGW_SociaalOplossingBeneden_VerdiepingenDrie_Toren1AandeelPlintcommercieel_Toren2AandeelPlintwonen,Vijf,Vijf,Half,GGW,Beneden,Drie,commercieel,wonen,12.3,0.7,2.7,9,232,23,31,45,17290,2304,3936,11050,24250,3216,5552,15482,3,0,48,0,16,48,0,0,30,45,0,17,0,204
