flyID,in:Type,in:Length,in:Width,in:Size,in:Layout,out:Efficiency,out:AptSize,out:AptCount
TypeCentral_Length275_Width685_Size3room_LayoutB,Central,275,685,3room,B,80.73,88.8,4
TypeCentral_Length275_Width685_Size3room_LayoutC,Central,275,685,3room,C,80.73,88.8,4
TypeCentral_Length275_Width735_SizeStudio_LayoutA,Central,275,735,Studio,A,81.29,47.5,8
TypeCentral_Length275_Width735_SizeStudio_LayoutB,Central,275,735,Studio,B,81.29,47.5,8
TypeCentral_Length275_Width735_SizeStudio_LayoutC,Central,275,735,Studio,C,81.29,47.5,8
TypeCentral_Length275_Width735_Size2room_LayoutA,Central,275,735,2room,A,81.29,63.34,6
TypeCentral_Length275_Width735_Size2room_LayoutB,Central,275,735,2room,B,81.29,63.34,6
TypeCentral_Length275_Width735_Size2room_LayoutC,Central,275,735,2room,C,81.29,63.34,6
TypeCentral_Length275_Width735_Size3room_LayoutA,Central,275,735,3room,A,81.29,95.01,4
TypeCentral_Length275_Width735_Size3room_LayoutB,Central,275,735,3room,B,81.29,95.01,4
TypeCentral_Length275_Width735_Size3room_LayoutC,Central,275,735,3room,C,81.29,95.01,4
TypeCentral_Length300_Width535_SizeStudio_LayoutA,Central,300,535,Studio,A,76.7,49.85,6
TypeCentral_Length300_Width535_SizeStudio_LayoutB,Central,300,535,Studio,B,76.7,49.85,6
TypeCentral_Length300_Width535_SizeStudio_LayoutC,Central,300,535,Studio,C,76.7,49.85,6
TypeCentral_Length300_Width535_Size2room_LayoutA,Central,300,535,2room,A,76.7,59.82,5
TypeCentral_Length300_Width535_Size2room_LayoutB,Central,300,535,2room,B,76.7,59.82,5
TypeCentral_Length300_Width535_Size2room_LayoutC,Central,300,535,2room,C,76.7,59.82,5
TypeCentral_Length300_Width535_Size3room_LayoutA,Central,300,535,3room,A,76.7,99.71,3
TypeCentral_Length300_Width535_Size3room_LayoutB,Central,300,535,3room,B,76.7,99.71,3
TypeCentral_Length300_Width535_Size3room_LayoutC,Central,300,535,3room,C,76.7,99.71,3
TypeCentral_Length300_Width585_SizeStudio_LayoutA,Central,300,585,Studio,A,77.52,46.51,7
TypeCentral_Length300_Width585_SizeStudio_LayoutB,Central,300,585,Studio,B,77.52,46.51,7
TypeCentral_Length300_Width585_SizeStudio_LayoutC,Central,300,585,Studio,C,77.52,46.51,7
TypeCentral_Length300_Width585_Size2room_LayoutA,Central,300,585,2room,A,77.52,65.12,5
TypeCentral_Length300_Width585_Size2room_LayoutB,Central,300,585,2room,B,77.52,65.12,5
TypeCentral_Length300_Width585_Size2room_LayoutC,Central,300,585,2room,C,77.52,65.12,5
TypeCentral_Length300_Width585_Size3room_LayoutA,Central,300,585,3room,A,77.52,81.4,4
TypeCentral_Length300_Width585_Size3room_LayoutB,Central,300,585,3room,B,77.52,81.4,4
TypeCentral_Length300_Width585_Size3room_LayoutC,Central,300,585,3room,C,77.52,81.4,4
TypeCentral_Length300_Width635_SizeStudio_LayoutA,Central,300,635,Studio,A,80.84,51.97,7
TypeCentral_Length300_Width635_SizeStudio_LayoutB,Central,300,635,Studio,B,80.84,51.97,7
TypeCentral_Length300_Width635_SizeStudio_LayoutC,Central,300,635,Studio,C,80.84,51.97,7
TypeCentral_Length300_Width635_Size2room_LayoutA,Central,300,635,2room,A,80.84,60.63,6
TypeCentral_Length300_Width635_Size2room_LayoutB,Central,300,635,2room,B,80.84,60.63,6
TypeCentral_Length300_Width635_Size2room_LayoutC,Central,300,635,2room,C,80.84,60.63,6
TypeCentral_Length300_Width635_Size3room_LayoutA,Central,300,635,3room,A,80.84,90.95,4
TypeCentral_Length300_Width635_Size3room_LayoutB,Central,300,635,3room,B,80.84,90.95,4
TypeCentral_Length300_Width635_Size3room_LayoutC,Central,300,635,3room,C,80.84,90.95,4
TypeCentral_Length300_Width685_SizeStudio_LayoutA,Central,300,685,Studio,A,81.49,48.89,8
TypeCentral_Length300_Width685_SizeStudio_LayoutB,Central,300,685,Studio,B,81.49,48.89,8
TypeCentral_Length300_Width685_SizeStudio_LayoutC,Central,300,685,Studio,C,81.49,48.89,8
TypeCentral_Length300_Width685_Size2room_LayoutA,Central,300,685,2room,A,81.49,55.88,7
TypeCentral_Length300_Width685_Size2room_LayoutB,Central,300,685,2room,B,81.49,55.88,7
TypeCentral_Length300_Width685_Size2room_LayoutC,Central,300,685,2room,C,81.49,55.88,7
TypeCentral_Length300_Width685_Size3room_LayoutA,Central,300,685,3room,A,81.49,78.23,5
TypeCentral_Length300_Width685_Size3room_LayoutB,Central,300,685,3room,B,81.49,78.23,5
TypeCentral_Length300_Width685_Size3room_LayoutC,Central,300,685,3room,C,81.49,78.23,5
TypeCentral_Length300_Width735_SizeStudio_LayoutA,Central,300,735,Studio,A,82.06,52.31,8
TypeCentral_Length300_Width735_SizeStudio_LayoutB,Central,300,735,Studio,B,82.06,52.31,8
TypeCentral_Length300_Width735_SizeStudio_LayoutC,Central,300,735,Studio,C,82.06,52.31,8
TypeCentral_Length300_Width735_Size2room_LayoutA,Central,300,735,2room,A,82.06,59.79,7
TypeCentral_Length300_Width735_Size2room_LayoutB,Central,300,735,2room,B,82.06,59.79,7
TypeCentral_Length300_Width735_Size2room_LayoutC,Central,300,735,2room,C,82.06,59.79,7
TypeCentral_Length300_Width735_Size3room_LayoutA,Central,300,735,3room,A,82.06,83.7,5
TypeCentral_Length300_Width735_Size3room_LayoutB,Central,300,735,3room,B,82.06,83.7,5
TypeCentral_Length300_Width735_Size3room_LayoutC,Central,300,735,3room,C,82.06,83.7,5
TypeGallery_Length200_Width535_SizeStudio_LayoutA,Gallery,200,535,Studio,A,51.24,71.74,1
TypeGallery_Length200_Width535_SizeStudio_LayoutB,Gallery,200,535,Studio,B,51.24,71.74,1
TypeGallery_Length200_Width535_SizeStudio_LayoutC,Gallery,200,535,Studio,C,51.24,71.74,1
TypeGallery_Length200_Width535_Size2room_LayoutA,Gallery,200,535,2room,A,51.24,71.74,1
TypeGallery_Length200_Width535_Size2room_LayoutB,Gallery,200,535,2room,B,51.24,71.74,1
TypeGallery_Length200_Width535_Size2room_LayoutC,Gallery,200,535,2room,C,51.24,71.74,1
TypeGallery_Length200_Width535_Size3room_LayoutA,Gallery,200,535,3room,A,51.24,71.74,1
TypeGallery_Length200_Width535_Size3room_LayoutB,Gallery,200,535,3room,B,51.24,71.74,1
TypeGallery_Length200_Width535_Size3room_LayoutC,Gallery,200,535,3room,C,51.24,71.74,1
TypeGallery_Length200_Width585_SizeStudio_LayoutA,Gallery,200,585,Studio,A,52.17,78.26,1
TypeGallery_Length200_Width585_SizeStudio_LayoutB,Gallery,200,585,Studio,B,52.17,78.26,1
TypeGallery_Length200_Width585_SizeStudio_LayoutC,Gallery,200,585,Studio,C,52.17,78.26,1
TypeGallery_Length200_Width585_Size2room_LayoutA,Gallery,200,585,2room,A,52.17,78.26,1
TypeGallery_Length200_Width585_Size2room_LayoutB,Gallery,200,585,2room,B,52.17,78.26,1
TypeGallery_Length200_Width585_Size2room_LayoutC,Gallery,200,585,2room,C,52.17,78.26,1
TypeGallery_Length200_Width585_Size3room_LayoutA,Gallery,200,585,3room,A,52.17,78.26,1
TypeGallery_Length200_Width585_Size3room_LayoutB,Gallery,200,585,3room,B,52.17,78.26,1
TypeGallery_Length200_Width585_Size3room_LayoutC,Gallery,200,585,3room,C,52.17,78.26,1
TypeGallery_Length200_Width635_SizeStudio_LayoutA,Gallery,200,635,Studio,A,52.99,42.39,2
TypeGallery_Length200_Width635_SizeStudio_LayoutB,Gallery,200,635,Studio,B,52.99,42.39,2
TypeGallery_Length200_Width635_SizeStudio_LayoutC,Gallery,200,635,Studio,C,52.99,42.39,2
TypeGallery_Length200_Width635_Size2room_LayoutA,Gallery,200,635,2room,A,52.99,84.78,1
TypeGallery_Length200_Width635_Size2room_LayoutB,Gallery,200,635,2room,B,52.99,84.78,1
TypeGallery_Length200_Width635_Size2room_LayoutC,Gallery,200,635,2room,C,52.99,84.78,1
TypeGallery_Length200_Width635_Size3room_LayoutA,Gallery,200,635,3room,A,52.99,84.78,1
TypeGallery_Length200_Width635_Size3room_LayoutB,Gallery,200,635,3room,B,52.99,84.78,1
TypeGallery_Length200_Width635_Size3room_LayoutC,Gallery,200,635,3room,C,52.99,84.78,1
TypeGallery_Length200_Width685_SizeStudio_LayoutA,Gallery,200,685,Studio,A,60.87,51.74,2
TypeGallery_Length200_Width685_SizeStudio_LayoutB,Gallery,200,685,Studio,B,60.87,51.74,2
TypeGallery_Length200_Width685_SizeStudio_LayoutC,Gallery,200,685,Studio,C,60.87,51.74,2
TypeGallery_Length200_Width685_Size2room_LayoutA,Gallery,200,685,2room,A,60.87,51.74,2
TypeGallery_Length200_Width685_Size2room_LayoutB,Gallery,200,685,2room,B,60.87,51.74,2
TypeGallery_Length200_Width685_Size2room_LayoutC,Gallery,200,685,2room,C,60.87,51.74,2
TypeGallery_Length200_Width685_Size3room_LayoutA,Gallery,200,685,3room,A,60.87,103.48,1
TypeGallery_Length200_Width685_Size3room_LayoutB,Gallery,200,685,3room,B,60.87,103.48,1
TypeGallery_Length200_Width685_Size3room_LayoutC,Gallery,200,685,3room,C,60.87,103.48,1
TypeGallery_Length200_Width735_SizeStudio_LayoutA,Gallery,200,735,Studio,A,61.59,55.43,2
TypeGallery_Length200_Width735_SizeStudio_LayoutB,Gallery,200,735,Studio,B,61.59,55.43,2
TypeGallery_Length200_Width735_SizeStudio_LayoutC,Gallery,200,735,Studio,C,61.59,55.43,2
